Document   word       Frequency  Weight     
1          (llms)     1          0.0954     
1          2019       1          0.169      
1          2020       1          0.169      
1          7b         1          0.169      
1          achiev     1          0.169      
1          address    1          0.0796     
1          although   1          0.169      
1          ap         1          0.1204     
1          apply      1          0.169      
1          approach   1          0.0954     
1          behind     2          0.338      
1          build      1          0.169      
1          built      1          0.169      
1          cap        1          0.1204     
1          chatgpt    1          0.169      
1          comp       1          0.0796     
1          context,   1          0.169      
1          date,      1          0.169      
1          deep       1          0.0954     
1          effect     2          0.137      
1          endpoints. 1          0.169      
1          expery     2          0.1908     
1          first      1          0.1204     
1          found      1          0.169      
1          foundations. 1          0.169      
1          ful        1          0.1204     
1          fut        1          0.169      
1          gpt-3.5    1          0.169      
1          gpt-4.     1          0.169      
1          hid        1          0.169      
1          high-quality 1          0.169      
1          hop        1          0.169      
1          inform     1          0.1204     
1          langu      1          0.0954     
1          larg       1          0.0796     
1          learn      1          0.0796     
1          listw      1          0.1204     
1          llm        1          0.0954     
1          llms.      1          0.169      
1          model      2          0.1204     
1          model,     1          0.169      
1          modern     1          0.169      
1          most       1          0.169      
1          much       1          0.169      
1          non-deterministic, 1          0.169      
1          opaqu      1          0.169      
1          open-source 1          0.169      
1          outcom     1          0.169      
1          paramet    1          0.169      
1          perform    1          0.0796     
1          pres       1          0.169      
1          propriet   1          0.169      
1          provid     1          0.169      
1          rankvicuna, 1          0.169      
1          remain     1          0.169      
1          reproduc   1          0.169      
1          rerank     5          0.8451     
1          research   2          0.2408     
1          result     2          0.137      
1          retriev    1          0.0685     
1          setting.   1          0.169      
1          shaky      1          0.169      
1          shortcoming, 1          0.169      
1          show       1          0.1204     
1          sign       1          0.0954     
1          slight     1          0.169      
1          smal       1          0.169      
1          success    1          0.169      
1          threatening 1          0.169      
1          track      1          0.169      
1          trec       1          0.0796     
1          verac      1          0.169      
1          work       2          0.338      
1          yield      1          0.1204     
1          zero-shot  2          0.2408     

2          (sbert)    1          0.1408     
2          addition,  1          0.1408     
2          address    1          0.0663     
2          adv        1          0.1408     
2          also       1          0.0663     
2          analys     1          0.1408     
2          architecture, 1          0.1408     
2          architectures, 1          0.1408     
2          assess     1          0.1408     
2          bas        1          0.0795     
2          bert       2          0.2817     
2          bert-based 1          0.1408     
2          cap        1          0.1003     
2          carry      1          0.1408     
2          clar       1          0.1408     
2          clear      1          0.1408     
2          combin     1          0.1408     
2          comp       1          0.0663     
2          competit   1          0.1408     
2          complet    1          0.1408     
2          conduc     1          0.1408     
2          context    2          0.2817     
2          cross-encoder 1          0.1408     
2          dat        1          0.1003     
