Document   word       Frequency  Weight     
1          (llms)     1          0.0954     
1          2019       1          0.169      
1          2020       1          0.169      
1          7b         1          0.169      
1          achiev     1          0.169      
1          address    1          0.0796     
1          although   1          0.169      
1          api        1          0.169      
1          appli      1          0.169      
1          approach   1          0.0954     
1          behind     2          0.338      
1          build      1          0.169      
1          built      1          0.169      
1          capabl     1          0.1204     
1          chatgpt    1          0.169      
1          compar     1          0.0796     
1          context,   1          0.169      
1          date,      1          0.169      
1          deep       1          0.0954     
1          effect     2          0.137      
1          endpoints. 1          0.169      
1          experiment 2          0.2408     
1          first      1          0.1204     
1          foundat    1          0.169      
1          foundations. 1          0.169      
1          fulli      1          0.169      
1          futur      1          0.169      
1          gpt-3.5    1          0.169      
1          gpt-4.     1          0.169      
1          hidden     1          0.169      
1          high-qual  1          0.169      
1          hope       1          0.169      
1          inform     1          0.1204     
1          languag    1          0.0954     
1          larg       1          0.0796     
1          learn      1          0.0796     
1          listwis    1          0.1204     
1          llm        1          0.0954     
1          llms.      1          0.169      
1          model      2          0.1204     
1          model,     1          0.169      
1          modern     1          0.169      
1          mostli     1          0.169      
1          much       1          0.169      
1          non-deterministic, 1          0.169      
1          opaqu      1          0.169      
1          open-sourc 1          0.169      
1          outcom     1          0.169      
1          paramet    1          0.169      
1          perform    1          0.0796     
1          present    1          0.169      
1          proprietari 1          0.169      
1          provid     1          0.169      
1          rankvicuna, 1          0.169      
1          remain     1          0.169      
1          reproduc   1          0.169      
1          rerank     5          0.8451     
1          research   2          0.2408     
1          result     2          0.137      
1          retriev    1          0.0685     
1          setting.   1          0.169      
1          shaki      1          0.169      
1          shortcoming, 1          0.169      
1          show       1          0.1204     
1          signific   1          0.1204     
1          slightli   1          0.169      
1          smaller    1          0.169      
1          success    1          0.169      
1          threaten   1          0.169      
1          track      1          0.169      
1          trec       1          0.0796     
1          verac      1          0.169      
1          work       2          0.338      
1          yield      1          0.1204     
1          zero-shot  2          0.2408     

2          (sbert)    1          0.1408     
2          addition,  1          0.1408     
2          address    1          0.0663     
2          advent     1          0.1408     
2          also       1          0.0663     
2          analysi    1          0.1408     
2          architecture, 1          0.1408     
2          architectures, 1          0.1408     
2          assess     1          0.1408     
2          base       1          0.0795     
2          bert       2          0.2817     
2          bert-bas   1          0.1408     
2          capabl     1          0.1003     
2          carri      1          0.1408     
2          clariti    1          0.1408     
2          clearli    1          0.1408     
2          combin     1          0.1408     
2          compar     1          0.0663     
2          competit   1          0.1408     
2          complet    1          0.1408     
2          conduct    1          0.1408     
2          contextu   2          0.2817     
2          cross-encod 1          0.1408     
