Document   word       Frequency  Weight     
1          2019       1          0.169      
1          2020       1          0.169      
1          3          1          0.169      
1          4          1          0.0954     
1          5          1          0.169      
1          7b         1          0.169      
1          achiev     1          0.169      
1          address    1          0.0796     
1          although   1          0.169      
1          ap         1          0.1204     
1          apply      1          0.169      
1          approach   1          0.0954     
1          behind     2          0.338      
1          build      1          0.169      
1          built      1          0.169      
1          cap        1          0.1204     
1          chatgpt    1          0.169      
1          comp       1          0.0796     
1          context    1          0.1204     
1          dat        1          0.0954     
1          deep       1          0.0954     
1          determin   1          0.169      
1          effect     2          0.137      
1          endpoint   1          0.169      
1          expery     2          0.1908     
1          first      1          0.0954     
1          found      2          0.338      
1          ful        1          0.1204     
1          fut        1          0.169      
1          gpt        2          0.2408     
1          hid        1          0.169      
1          high       1          0.0796     
1          hop        1          0.169      
1          inform     1          0.1204     
1          langu      1          0.0954     
1          larg       1          0.0796     
1          learn      1          0.0796     
1          listw      1          0.1204     
1          llm        1          0.0954     
1          llms       2          0.1908     
1          model      3          0.1806     
1          modern     1          0.169      
1          most       1          0.169      
1          much       1          0.169      
1          non        1          0.169      
1          op         1          0.169      
1          opaqu      1          0.169      
1          outcom     1          0.169      
1          paramet    1          0.169      
1          perform    1          0.0685     
1          pres       1          0.169      
1          propriet   1          0.169      
1          provid     1          0.169      
1          qual       1          0.1204     
1          rankvicun  1          0.169      
1          remain     1          0.169      
1          reproduc   1          0.169      
1          rerank     5          0.8451     
1          research   2          0.1908     
1          result     2          0.137      
1          retriev    1          0.0685     
1          set        1          0.1204     
1          shaky      1          0.169      
1          shortcom   1          0.169      
1          shot       2          0.2408     
1          show       1          0.1204     
1          sign       1          0.0954     
1          slight     1          0.169      
1          smal       1          0.169      
1          sourc      1          0.169      
1          success    1          0.169      
1          threatening 1          0.169      
1          track      1          0.169      
1          trec       1          0.0685     
1          verac      1          0.169      
1          work       2          0.2408     
1          yield      1          0.1204     
1          zero       2          0.2408     

2          2014       1          0.0939     
2          addit      1          0.053      
2          address    1          0.0442     
2          adv        1          0.0939     
2          also       1          0.0442     
2          analys     1          0.0939     
2          architect  2          0.1878     
2          assess     1          0.0939     
2          at         1          0.0939     
2          bas        7          0.2663     
2          bert       3          0.2817     
2          cap        1          0.0669     
2          carry      1          0.0939     
2          cds        1          0.0939     
2          clar       1          0.0939     
2          clear      1          0.0939     
2          combin     1          0.0939     
2          comp       1          0.0442     
2          competit   1          0.0939     
2          complet    1          0.0939     
2          conduc     1          0.0939     
2          context    2          0.1338     
2          cross      1          0.0939     
2          dat        1          0.053      
2          dataset    1          0.038      
2          deep       3          0.159      
2          demonst    1          0.0442     
2          dens       3          0.2007     
2          design     1          0.0669     
2          dimend     1          0.0939     
2          docu       7          0.2663     
2          effect     1          0.038      
2          elasticsearch 1          0.0939     
2          embed      3          0.159      
2          employ     1          0.0939     
2          encod      3          0.2007     
2          engin      1          0.0939     
2          expand     2          0.1338     
2          expery     1          0.053      
2          fin        3          0.2817     
2          fix        1          0.0939     
2          framework  1          0.053      
2          ful        1          0.0669     
2          gap        1          0.0669     
2          gen        1          0.0669     
2          improv     1          0.053      
2          index      1          0.0669     
2          input      1          0.0939     
2          interact   1          0.0669     
2          known      1          0.0939     
2          larg       1          0.0442     
2          learn      2          0.0884     
2          leng       1          0.0939     
2          lengthy    1          0.0939     
2          lev        1          0.0669     
2          limit      1          0.0669     
2          low        1          0.0939     
2          match      2          0.1338     
2          maxim      1          0.0939     
2          model      7          0.2341     
2          ohsum      1          0.0939     
2          perform    2          0.0761     
2          phrase     2          0.1878     
2          pipelin    1          0.0939     
2          produc     2          0.1338     
2          propos     1          0.038      
2          query      9          0.3979     
2          rank       1          0.038      
2          record     1          0.0939     
2          reduc      1          0.053      
2          relev      1          0.0442     
2          repres     4          0.2676     
2          result     3          0.1141     
2          retriev    3          0.1141     
2          rich       1          0.0939     
2          sbert      1          0.0939     
2          search     1          0.0669     
2          self       1          0.0939     
2          sem        2          0.106      
2          sent       1          0.0939     
2          sep        2          0.1878     
2          short      1          0.0939     
2          siz        1          0.0669     
2          spac       2          0.1338     
2          spec       1          0.0939     
2          study      2          0.1338     
2          summ       1          0.0939     
2          text       4          0.3756     
2          tok        1          0.0669     
2          transform  3          0.2817     
2          trec       1          0.038      
2          tun        1          0.0939     
2          two        1          0.0669     
2          understand 2          0.1878     
2          us         2          0.0761     
2          vect       5          0.4695     
2          wel        1          0.0939     
2          yield      1          0.0669     

3          000        1          0.0939     
3          100        2          0.1878     
3          17         1          0.0939     
3          4          1          0.053      
3          500x       1          0.0939     
3          abl        1          0.0939     
3          addit      1          0.053      
3          address    1          0.0442     
3          also       1          0.0442     
3          anno       1          0.0939     
3          annot      6          0.5634     
3          approach   1          0.053      
3          aspect     1          0.0939     
3          assembl    1          0.0939     
3          auth       1          0.0939     
3          bas        2          0.0761     
3          benchmark  1          0.053      
3          bet        1          0.0939     
3          cas        2          0.1878     
3          collect    1          0.0669     
3          comp       1          0.0442     
3          complex    7          0.6573     
3          comprom    1          0.0939     
3          comput     1          0.0442     
3          consist    1          0.0669     
3          cost       2          0.1338     
3          crit       1          0.0939     
3          dataset    6          0.2283     
3          design     1          0.0669     
3          develop    1          0.0939     
3          docu       3          0.1141     
3          dor        4          0.3756     
3          drop       1          0.0939     
3          due        2          0.1878     
3          effect     2          0.0761     
3          effort     1          0.0939     
3          evalu      2          0.106      
3          ex         1          0.053      
3          expert     2          0.1878     
3          extend     1          0.0939     
3          field      1          0.0939     
3          framework  1          0.053      
3          furtherm   1          0.0939     
3          gpt        1          0.0669     
3          handl      2          0.1878     
3          high       1          0.0442     
3          highlight  1          0.0939     
3          hum        1          0.0939     
3          introduc   1          0.0669     
3          lab        1          0.0939     
3          langu      1          0.053      
3          larg       1          0.0442     
3          level      2          0.1878     
3          limit      1          0.0669     
3          llm        1          0.053      
3          llms       1          0.053      
3          mae        4          0.3756     
3          method     1          0.053      
3          model      1          0.0334     
3          mult       2          0.1878     
3          multifacet 2          0.1878     
3          nat        1          0.0939     
3          nee        1          0.0939     
3          not        1          0.0669     
3          novel      1          0.0669     
3          observ     1          0.0939     
3          perform    2          0.0761     
3          prim       1          0.0939     
3          produc     1          0.0669     
3          propos     1          0.038      
3          qual       1          0.0669     
3          query      9          0.3979     
3          rank       1          0.038      
3          rec        1          0.0669     
3          recogn     1          0.0939     
3          reduc      1          0.053      
3          relev      3          0.1326     
3          repres     1          0.0669     
3          requir     2          0.1878     
3          research   3          0.159      
3          resourc    1          0.0939     
3          result     1          0.038      
3          retriev    3          0.1141     
3          scal       1          0.0939     
3          sci        5          0.4695     
3          scor       1          0.0669     
3          sign       1          0.053      
3          structure  1          0.0669     
3          sub        1          0.0939     
3          task       3          0.2007     
3          test       1          0.053      
3          tier       1          0.0939     
3          tradit     1          0.0669     
3          us         2          0.0761     
3          valid      1          0.0939     
3          within     1          0.0669     
3          without    2          0.1878     

4          allow      1          0.0669     
4          also       1          0.0442     
4          among      1          0.0939     
4          amount     1          0.0939     
4          approach   9          0.4771     
4          bas        3          0.1141     
4          begin      1          0.0939     
4          beir       1          0.0939     
4          benchmark  1          0.053      
4          comp       1          0.0442     
4          comput     2          0.0884     
4          consid     2          0.1878     
4          consist    1          0.0669     
4          consum     2          0.1878     
4          convers    1          0.0939     
4          cost       1          0.0669     
4          dataset    1          0.038      
4          demonst    2          0.0884     
4          dl         1          0.0939     
4          docu       2          0.0761     
4          effect     5          0.1902     
4          efficy     4          0.2676     
4          empir      1          0.0939     
4          enh        1          0.0939     
4          evalu      2          0.106      
4          ex         1          0.053      
4          expery     1          0.053      
4          fact       1          0.0939     
4          find       1          0.0669     
4          first      1          0.053      
4          framework  1          0.053      
4          high       3          0.1326     
4          ident      1          0.0939     
4          impress    1          0.0939     
4          improv     1          0.053      
4          ind        1          0.0939     
4          inf        1          0.0939     
4          inh        1          0.0939     
4          int        1          0.0939     
4          kind       1          0.0939     
4          langu      1          0.053      
4          larg       1          0.0442     
4          lat        1          0.0669     
4          lik        1          0.0669     
4          listw      1          0.0669     
4          llm        4          0.2121     
4          llms       1          0.053      
4          method     1          0.053      
4          model      2          0.0669     
4          novel      1          0.0669     
4          numb       1          0.0939     
4          off        1          0.0939     
4          oth        1          0.0939     
4          overhead   1          0.0939     
4          pairw      2          0.1878     
4          pointw     2          0.1878     
4          poor       1          0.0939     
4          proc       1          0.0939     
4          prompt     3          0.2817     
4          propos     2          0.0761     
4          rank       7          0.2663     
4          reduc      2          0.106      
4          result     1          0.038      
4          retain     1          0.0939     
4          scor       1          0.0669     
4          setw       1          0.0939     
4          shot       6          0.4014     
4          sign       1          0.053      
4          siz        1          0.0669     
4          study      1          0.0669     
4          suff       1          0.0939     
4          supery     1          0.0939     
4          task       1          0.0669     
4          test       1          0.053      
4          thorough   1          0.0939     
4          tok        2          0.1338     
4          trad       1          0.0939     
4          trec       1          0.038      
4          us         2          0.0761     
4          within     1          0.0669     
4          zero       6          0.4014     

5          0          1          0.169      
5          10         2          0.338      
5          2          1          0.169      
5          4          1          0.0954     
5          6          1          0.169      
5          an         5          0.8451     
5          approxim   1          0.169      
5          art        1          0.1204     
5          b          1          0.169      
5          bas        2          0.137      
5          benchmark  2          0.1908     
5          budget     1          0.169      
5          capt       1          0.169      
5          comput     1          0.0796     
5          contrast   1          0.169      
5          dataset    1          0.0685     
5          de         1          0.169      
5          demonst    1          0.0796     
5          dens       2          0.2408     
5          dev        2          0.338      
5          discret    1          0.169      
5          disjoint   1          0.169      
5          dl19       2          0.338      
5          docu       5          0.3424     
5          dual       2          0.338      
5          effect     1          0.0685     
5          efficy     2          0.2408     
5          eh         5          0.8451     
5          emb        1          0.169      
5          embed      5          0.4771     
5          encod      2          0.2408     
5          end        2          0.338      
5          ens        1          0.169      
5          exampl     1          0.169      
5          facto      1          0.169      
5          fil        1          0.169      
5          find       1          0.1204     
5          giv        2          0.338      
5          hierarch   1          0.169      
5          il         1          0.169      
5          includ     1          0.169      
5          index      2          0.2408     
5          industry   2          0.338      
5          introduc   1          0.1204     
5          invert     1          0.169      
5          ivf        1          0.169      
5          joint      1          0.169      
5          lead       1          0.169      
5          learn      5          0.3979     
5          lik        1          0.1204     
5          marco      2          0.2408     
5          method     1          0.0954     
5          might      1          0.169      
5          model      1          0.0602     
5          mrr        1          0.169      
5          ms         2          0.2408     
5          ndcg       1          0.169      
5          nearest    1          0.169      
5          neighb     1          0.169      
5          not        1          0.1204     
5          obtain     1          0.169      
5          optim      1          0.169      
5          outperform 1          0.1204     
5          path       1          0.169      
5          perform    2          0.137      
5          posit      1          0.169      
5          problem    1          0.169      
5          process    1          0.169      
5          propos     1          0.0685     
5          query      5          0.3979     
5          rank       1          0.0685     
5          relev      1          0.0796     
5          retriev    2          0.137      
5          search     2          0.2408     
5          sem        1          0.0954     
5          set        2          0.2408     
5          sev        1          0.169      
5          simil      1          0.1204     
5          sot        1          0.169      
5          stabl      1          0.169      
5          stag       2          0.338      
5          standard   3          0.3612     
5          stat       1          0.1204     
5          structure  3          0.3612     
5          styl       1          0.169      
5          suboptim   1          0.169      
5          suit       1          0.169      
5          techn      1          0.169      
5          train      1          0.1204     
5          tre        3          0.5071     
5          trec       2          0.137      
5          two        2          0.2408     
5          us         2          0.137      
5          vers       1          0.169      
5          vic        1          0.169      
5          web        1          0.169      
5          work       1          0.1204     

6          04         1          0.0768     
6          addit      1          0.0434     
6          address    1          0.0362     
6          adopt      1          0.0768     
6          aim        1          0.0768     
6          allow      1          0.0547     
6          also       1          0.0362     
6          ap         1          0.0547     
6          art        1          0.0547     
6          autoencod  1          0.0768     
6          bas        1          0.0311     
6          baselin    1          0.0768     
6          collect    1          0.0547     
6          common     1          0.0768     
6          comput     1          0.0362     
6          condit     1          0.0768     
6          dat        1          0.0434     
6          dataset    1          0.0311     
6          deep       1          0.0434     
6          demonst    1          0.0362     
6          docu       5          0.1556     
6          embed      2          0.0867     
6          emerg      1          0.0768     
6          estim      1          0.0768     
6          evalu      1          0.0434     
6          ex         1          0.0434     
6          expand     4          0.2189     
6          feedback   2          0.1537     
6          first      1          0.0434     
6          foc        1          0.0768     
6          gap        1          0.0547     
6          gen        2          0.1095     
6          gov02      1          0.0768     
6          high       1          0.0362     
6          howev      1          0.0768     
6          ign        1          0.0768     
6          improv     1          0.0434     
6          inform     1          0.0547     
6          interact   2          0.1095     
6          ir         2          0.1537     
6          lat        2          0.1095     
6          learn      2          0.0724     
6          lev        1          0.0547     
6          many       1          0.0768     
6          map        1          0.0768     
6          marco      1          0.0547     
6          match      1          0.0547     
6          model      11         0.301      
6          ms         1          0.0547     
6          neur       3          0.2305     
6          oft        1          0.0768     
6          outperform 1          0.0547     
6          pair       1          0.0768     
6          pass       1          0.0768     
6          perform    1          0.0311     
6          propos     3          0.0934     
6          pseudo     1          0.0768     
6          qe         4          0.3073     
6          query      5          0.1809     
6          rank       2          0.0623     
6          rec        1          0.0547     
6          relev      3          0.1085     
6          research   2          0.0867     
6          result     1          0.0311     
6          retriev    1          0.0311     
6          robust     1          0.0768     
6          sem        1          0.0434     
6          show       1          0.0547     
6          simil      1          0.0547     
6          spac       2          0.1095     
6          standard   1          0.0547     
6          stat       1          0.0547     
6          term       1          0.0768     
6          test       1          0.0434     
6          three      1          0.0768     
6          tim        1          0.0768     
6          tradit     2          0.1095     
6          train      1          0.0547     
6          trec       1          0.0311     
6          us         3          0.0934     
6          vary       1          0.0768     
6          year       1          0.0768     

