Document   word       Frequency  Weight     
1          2019       1          0.169      
1          2020       1          0.169      
1          3          1          0.169      
1          4          1          0.0954     
1          5          1          0.169      
1          7b         1          0.169      
1          achiev     1          0.169      
1          address    1          0.0796     
1          although   1          0.169      
1          api        1          0.169      
1          appli      1          0.169      
1          approach   1          0.0954     
1          behind     2          0.338      
1          build      1          0.169      
1          built      1          0.169      
1          capabl     1          0.1204     
1          chatgpt    1          0.169      
1          compar     1          0.0796     
1          context    1          0.169      
1          date       1          0.169      
1          deep       1          0.0954     
1          determinist 1          0.169      
1          effect     2          0.137      
1          endpoint   1          0.169      
1          experiment 2          0.2408     
1          first      1          0.0954     
1          foundat    2          0.338      
1          fulli      1          0.169      
1          futur      1          0.169      
1          gpt        2          0.2408     
1          hidden     1          0.169      
1          high       1          0.0954     
1          hope       1          0.169      
1          inform     1          0.1204     
1          languag    1          0.0954     
1          larg       1          0.0796     
1          learn      1          0.0796     
1          listwis    1          0.1204     
1          llm        3          0.2863     
1          model      3          0.1806     
1          modern     1          0.169      
1          mostli     1          0.169      
1          much       1          0.169      
1          non        1          0.169      
1          opaqu      1          0.169      
1          open       1          0.169      
1          outcom     1          0.169      
1          paramet    1          0.169      
1          perform    1          0.0685     
1          present    1          0.169      
1          proprietari 1          0.169      
1          provid     1          0.169      
1          qualiti    1          0.1204     
1          rankvicuna 1          0.169      
1          remain     1          0.169      
1          reproduc   1          0.169      
1          rerank     5          0.8451     
1          research   2          0.1908     
1          result     2          0.137      
1          retriev    1          0.0685     
1          set        1          0.1204     
1          shaki      1          0.169      
1          shortcom   1          0.169      
1          shot       2          0.2408     
1          show       1          0.1204     
1          signific   1          0.1204     
1          slightli   1          0.169      
1          smaller    1          0.169      
1          sourc      1          0.169      
1          success    1          0.169      
1          threaten   1          0.169      
1          track      1          0.169      
1          trec       1          0.0685     
1          verac      1          0.169      
1          work       2          0.2408     
1          yield      1          0.1204     
1          zero       2          0.2408     

2          2014       1          0.0939     
2          addit      1          0.053      
2          address    1          0.0442     
2          advent     1          0.0939     
2          also       1          0.0442     
2          analysi    1          0.0939     
2          architectur 2          0.1878     
2          assess     1          0.0939     
2          attent     1          0.0939     
2          base       7          0.2663     
2          bert       3          0.2817     
2          capabl     1          0.0669     
2          carri      1          0.0939     
2          cd         1          0.0939     
2          clariti    1          0.0939     
2          clearli    1          0.0939     
2          combin     1          0.0939     
2          compar     1          0.0442     
2          competit   1          0.0939     
2          complet    1          0.0939     
2          conduct    1          0.0939     
2          contextu   2          0.1878     
2          cross      1          0.0939     
2          data       1          0.0669     
2          dataset    1          0.038      
2          deep       1          0.053      
2          deeper     2          0.1878     
2          demonstr   1          0.0442     
2          dens       3          0.2007     
2          design     1          0.0669     
2          dimension  1          0.0939     
2          document   7          0.2663     
2          effect     1          0.038      
2          elasticsearch 1          0.0939     
2          embed      3          0.159      
2          employ     1          0.0939     
2          encod      3          0.2007     
2          engin      1          0.0939     
2          expans     2          0.1338     
2          experi     1          0.0939     
2          final      2          0.1878     
2          fine       1          0.0939     
2          fix        1          0.0939     
2          framework  1          0.053      
2          full       1          0.0939     
2          gap        1          0.0669     
2          gener      1          0.0669     
2          improv     1          0.053      
2          index      1          0.0669     
2          input      1          0.0939     
2          interact   1          0.0669     
2          known      1          0.0939     
2          larg       1          0.0442     
2          learn      2          0.0884     
2          length     1          0.0939     
2          lengthi    1          0.0939     
2          leverag    1          0.0669     
2          limit      1          0.0669     
2          low        1          0.0939     
2          match      2          0.1338     
2          maximum    1          0.0939     
2          model      7          0.2341     
2          ohsum      1          0.0939     
2          perform    2          0.0761     
2          phrase     2          0.1878     
2          pipelin    1          0.0939     
2          produc     2          0.1338     
2          propos     1          0.038      
2          queri      9          0.3979     
2          rank       1          0.038      
2          record     1          0.0939     
2          reduc      1          0.0669     
2          relev      1          0.0442     
2          repres     1          0.0669     
2          represent  3          0.2817     
2          result     3          0.1141     
2          retriev    3          0.1141     
2          richer     1          0.0939     
2          sbert      1          0.0939     
2          search     1          0.0669     
2          self       1          0.0939     
2          semant     2          0.106      
2          sentenc    1          0.0939     
2          separ      2          0.1878     
2          short      1          0.0939     
2          size       1          0.0669     
2          space      2          0.1338     
2          specif     1          0.0939     
2          studi      2          0.1338     
2          summar     1          0.0939     
2          text       4          0.3756     
2          token      1          0.0669     
2          transform  3          0.2817     
2          trec       1          0.038      
2          tune       1          0.0939     
2          two        1          0.0669     
2          understand 2          0.1878     
2          use        2          0.0761     
2          vector     5          0.4695     
2          well       1          0.0939     
2          yield      1          0.0669     

3          000        1          0.0939     
3          100        2          0.1878     
3          17         1          0.0939     
3          4          1          0.053      
3          500x       1          0.0939     
3          abil       1          0.0939     
3          addit      1          0.053      
3          address    1          0.0442     
3          also       1          0.0442     
3          anno       1          0.0939     
3          annot      6          0.5634     
3          approach   1          0.053      
3          aspect     1          0.0939     
3          assembl    1          0.0939     
3          author     1          0.0939     
3          base       2          0.0761     
3          benchmark  1          0.053      
3          better     1          0.0939     
3          case       2          0.1878     
3          collect    1          0.0669     
3          compar     1          0.0442     
3          complex    7          0.6573     
3          compromis  1          0.0939     
3          comput     1          0.0442     
3          consist    1          0.0669     
3          cost       2          0.1338     
3          critic     1          0.0939     
3          dataset    6          0.2283     
3          design     1          0.0669     
3          develop    1          0.0939     
3          document   3          0.1141     
3          dori       4          0.3756     
3          drop       1          0.0939     
3          due        2          0.1878     
3          effect     2          0.0761     
3          effort     1          0.0939     
3          evalu      2          0.106      
3          exist      1          0.053      
3          expert     2          0.1878     
3          extend     1          0.0939     
3          field      1          0.0939     
3          framework  1          0.053      
3          furthermor 1          0.0939     
3          gpt        1          0.0669     
3          handl      2          0.1878     
3          high       1          0.053      
3          highlight  1          0.0939     
3          human      1          0.0939     
3          introduc   1          0.0669     
3          labor      1          0.0939     
3          languag    1          0.053      
3          larg       1          0.0442     
3          level      2          0.1878     
3          limit      1          0.0669     
3          llm        2          0.106      
3          mae        4          0.3756     
3          method     1          0.053      
3          model      1          0.0334     
3          multi      2          0.1878     
3          multifacet 2          0.1878     
3          natur      1          0.0939     
3          need       1          0.0939     
3          notabl     1          0.0939     
3          novel      1          0.0669     
3          observ     1          0.0939     
3          perform    2          0.0761     
3          primarili  1          0.0939     
3          produc     1          0.0669     
3          propos     1          0.038      
3          qualiti    1          0.0669     
3          queri      9          0.3979     
3          rank       1          0.038      
3          recent     1          0.0669     
3          recogn     1          0.0939     
3          reduct     1          0.0939     
3          relev      3          0.1326     
3          repres     1          0.0669     
3          requir     2          0.1878     
3          research   3          0.159      
3          resourc    1          0.0939     
3          result     1          0.038      
3          retriev    3          0.1141     
3          scalabl    1          0.0939     
3          scienc     1          0.0939     
3          scientif   4          0.3756     
3          score      1          0.0669     
3          signific   1          0.0669     
3          structur   1          0.0669     
3          sub        1          0.0939     
3          task       3          0.2007     
3          test       1          0.053      
3          tier       1          0.0939     
3          tradit     1          0.0669     
3          use        1          0.038      
3          user       1          0.0939     
3          valid      1          0.0939     
3          within     1          0.0669     
3          without    2          0.1878     

4          allow      1          0.0669     
4          also       1          0.0442     
4          among      1          0.0939     
4          amount     1          0.0939     
4          approach   9          0.4771     
4          base       3          0.1141     
4          begin      1          0.0939     
4          beir       1          0.0939     
4          benchmark  1          0.053      
4          compar     1          0.0442     
4          comput     2          0.0884     
4          consid     1          0.0939     
4          consider   1          0.0939     
4          consist    1          0.0669     
4          consumpt   2          0.1878     
4          convers    1          0.0939     
4          cost       1          0.0669     
4          dataset    1          0.038      
4          demonstr   2          0.0884     
4          dl         1          0.0939     
4          document   2          0.0761     
4          effect     5          0.1902     
4          effici     4          0.2676     
4          empir      1          0.0939     
4          enhanc     1          0.0939     
4          evalu      2          0.106      
4          exist      1          0.053      
4          experiment 1          0.0669     
4          factor     1          0.0939     
4          find       1          0.0669     
4          first      1          0.053      
4          framework  1          0.053      
4          high       3          0.159      
4          identifi   1          0.0939     
4          impress    1          0.0939     
4          improv     1          0.053      
4          incur      1          0.0939     
4          indic      1          0.0939     
4          infer      1          0.0939     
4          inher      1          0.0939     
4          kind       1          0.0939     
4          languag    1          0.053      
4          larg       1          0.0442     
4          latenc     1          0.0939     
4          like       1          0.0669     
4          listwis    1          0.0669     
4          llm        5          0.2651     
4          method     1          0.053      
4          model      2          0.0669     
4          novel      1          0.0669     
4          number     1          0.0939     
4          off        1          0.0939     
4          other      1          0.0939     
4          overhead   1          0.0939     
4          pairwis    2          0.1878     
4          pointwis   2          0.1878     
4          poor       1          0.0939     
4          procedur   1          0.0939     
4          prompt     3          0.2817     
4          propos     2          0.0761     
4          rank       7          0.2663     
4          reduc      2          0.1338     
4          result     1          0.038      
4          retain     1          0.0939     
4          score      1          0.0669     
4          setwis     1          0.0939     
4          shot       6          0.4014     
4          significantli 1          0.0939     
4          size       1          0.0669     
4          studi      1          0.0669     
4          suffer     1          0.0939     
4          superior   1          0.0939     
4          task       1          0.0669     
4          test       1          0.053      
4          thoroughli 1          0.0939     
4          token      2          0.1338     
4          trade      1          0.0939     
4          trec       1          0.038      
4          us         1          0.0939     
4          use        1          0.038      
4          within     1          0.0669     
4          zero       6          0.4014     

5          0          1          0.169      
5          10         2          0.338      
5          2          1          0.169      
5          4          1          0.0954     
5          6          1          0.169      
5          ann        5          0.8451     
5          approxim   1          0.169      
5          art        1          0.1204     
5          b          1          0.169      
5          base       2          0.137      
5          benchmark  2          0.1908     
5          budget     1          0.169      
5          captur     1          0.169      
5          comput     1          0.0796     
5          contrast   1          0.169      
5          dataset    1          0.0685     
5          de         1          0.169      
5          demonstr   1          0.0796     
5          dens       2          0.2408     
5          dev        2          0.338      
5          discret    1          0.169      
5          disjoint   1          0.169      
5          dl19       2          0.338      
5          document   5          0.3424     
5          dual       2          0.338      
5          effect     1          0.0685     
5          effici     2          0.2408     
5          ehi        5          0.8451     
5          emb        1          0.169      
5          embed      5          0.4771     
5          encod      2          0.2408     
5          end        2          0.338      
5          ensur      1          0.169      
5          exampl     1          0.169      
5          facto      1          0.169      
5          file       1          0.169      
5          find       1          0.1204     
5          given      2          0.338      
5          hierarch   1          0.169      
5          ill        1          0.169      
5          includ     1          0.169      
5          index      2          0.2408     
5          industri   2          0.338      
5          introduc   1          0.1204     
5          invert     1          0.169      
5          ivf        1          0.169      
5          jointli    1          0.169      
5          lead       1          0.169      
5          learn      5          0.3979     
5          like       1          0.1204     
5          marco      2          0.2408     
5          method     1          0.0954     
5          might      1          0.169      
5          model      1          0.0602     
5          mrr        1          0.169      
5          ms         2          0.2408     
5          ndcg       1          0.169      
5          nearest    1          0.169      
5          neighbor   1          0.169      
5          notion     1          0.169      
5          obtain     1          0.169      
5          optim      1          0.169      
5          outperform 1          0.1204     
5          path       1          0.169      
5          perform    2          0.137      
5          posit      1          0.169      
5          problem    1          0.169      
5          process    1          0.169      
5          propos     1          0.0685     
5          queri      5          0.3979     
5          rank       1          0.0685     
5          relev      1          0.0796     
5          retriev    2          0.137      
5          search     2          0.2408     
5          semant     1          0.0954     
5          set        2          0.2408     
5          sever      1          0.169      
5          similar    1          0.1204     
5          sota       1          0.169      
5          stabl      1          0.169      
5          stage      2          0.338      
5          standard   3          0.3612     
5          state      1          0.1204     
5          structur   3          0.3612     
5          style      1          0.169      
5          suboptim   1          0.169      
5          suit       1          0.169      
5          techniqu   1          0.169      
5          train      1          0.1204     
5          trec       2          0.137      
5          tree       3          0.5071     
5          two        2          0.2408     
5          use        2          0.137      
5          versa      1          0.169      
5          vice       1          0.169      
5          web        1          0.169      
5          work       1          0.1204     

6          04         1          0.0768     
6          addit      1          0.0434     
6          address    1          0.0362     
6          adopt      1          0.0768     
6          aim        1          0.0768     
6          allow      1          0.0547     
6          also       1          0.0362     
6          ap         1          0.0768     
6          art        1          0.0547     
6          autoencod  1          0.0768     
6          base       1          0.0311     
6          baselin    1          0.0768     
6          collect    1          0.0547     
6          commonli   1          0.0768     
6          comput     1          0.0362     
6          condit     1          0.0768     
6          data       1          0.0547     
6          dataset    1          0.0311     
6          deep       1          0.0434     
6          demonstr   1          0.0362     
6          document   5          0.1556     
6          embed      2          0.0867     
6          emerg      1          0.0768     
6          estim      1          0.0768     
6          evalu      1          0.0434     
6          exist      1          0.0434     
6          expans     4          0.2189     
6          feedback   2          0.1537     
6          first      1          0.0434     
6          focu       1          0.0768     
6          gap        1          0.0547     
6          gener      2          0.1095     
6          gov02      1          0.0768     
6          higher     1          0.0768     
6          howev      1          0.0768     
6          ignor      1          0.0768     
6          improv     1          0.0434     
6          inform     1          0.0547     
6          interact   2          0.1095     
6          ir         2          0.1537     
6          latent     2          0.1537     
6          learn      2          0.0724     
6          leverag    1          0.0547     
6          mani       1          0.0768     
6          map        1          0.0768     
6          marco      1          0.0547     
6          match      1          0.0547     
6          model      11         0.301      
6          ms         1          0.0547     
6          neural     3          0.2305     
6          often      1          0.0768     
6          outperform 1          0.0547     
6          pair       1          0.0768     
6          passag     1          0.0768     
6          perform    1          0.0311     
6          propos     3          0.0934     
6          pseudo     1          0.0768     
6          qe         4          0.3073     
6          queri      5          0.1809     
6          rank       2          0.0623     
6          recent     1          0.0547     
6          relev      3          0.1085     
6          research   2          0.0867     
6          result     1          0.0311     
6          retriev    1          0.0311     
6          robust     1          0.0768     
6          semant     1          0.0434     
6          show       1          0.0547     
6          similar    1          0.0547     
6          space      2          0.1095     
6          standard   1          0.0547     
6          state      1          0.0547     
6          term       1          0.0768     
6          test       1          0.0434     
6          three      1          0.0768     
6          time       1          0.0768     
6          tradit     2          0.1095     
6          train      1          0.0547     
6          trec       1          0.0311     
6          use        3          0.0934     
6          variat     1          0.0768     
6          year       1          0.0768     

