Word       Document   Frequency  Weight     
(a)        D5         1          0.169     
(anns)     D5         1          0.169     
(b)        D5         1          0.169     
(dev       D5         1          0.169     
(doris-mae), D3         1          0.169     
(ir)       D6         1          0.0939    
(ivf)      D5         1          0.169     
(llms)     D1         1          0.0954    
(llms)     D3         1          0.0954    
(llms)     D4         1          0.0682    
(mrr@10)   D5         1          0.169     
(ndcg@10)  D5         1          0.169     
(qe)       D6         1          0.0939    
(sbert)    D2         1          0.1408    
(sota)     D5         1          0.169     
--         D5         2          0.338     
0.6%       D5         1          0.169     
04         D6         1          0.0939    
100        D3         2          0.338     
17         D3         1          0.169     
2019       D1         1          0.169     
2020       D1         1          0.169     
4,000      D3         1          0.169     
4.2%       D5         1          0.169     
500x       D3         1          0.169     
7b         D1         1          0.169     
abl        D3         1          0.169     
achiev     D1         1          0.169     
addit      D3         1          0.1204    
addit      D6         1          0.0669    
addition,  D2         1          0.1408    
address    D1         1          0.0796    
address    D2         1          0.0663    
address    D3         1          0.0796    
address    D6         1          0.0442    
adopt      D6         1          0.0939    
adv        D2         1          0.1408    
aim        D6         1          0.0939    
allow      D4         1          0.086     
allow      D6         1          0.0669    
also       D2         1          0.0663    
also       D3         1          0.0796    
also       D4         1          0.0568    
also       D6         1          0.0442    
although   D1         1          0.169     
among      D4         1          0.1207    
amount     D4         1          0.1207    
an         D5         3          0.5071    
analys     D2         1          0.1408    
anno-gpt,  D3         1          0.169     
annot      D3         4          0.6761    
annotation, D3         1          0.169     
annotation. D3         1          0.169     
anns.      D5         1          0.169     
ap         D1         1          0.1204    
ap         D6         1          0.0669    
apply      D1         1          0.169     
approach   D1         1          0.0954    
approach   D3         1          0.0954    
approach   D4         7          0.4771    
approach.  D4         2          0.2415    
approxim   D5         1          0.169     
architecture, D2         1          0.1408    
architectures, D2         1          0.1408    
aspect-based D3         1          0.169     
assembl    D3         1          0.169     
assess     D2         1          0.1408    
autoencoder. D6         1          0.0939    
bas        D2         1          0.0795    
bas        D3         1          0.0954    
bas        D6         1          0.053     
baselines. D6         1          0.0939    
begin      D4         1          0.1207    
behind     D1         2          0.338     
beir       D4         1          0.1207    
benchmark  D3         1          0.169     
benchmark. D4         1          0.1207    
benchmarks, D5         1          0.169     
benchmarks. D5         1          0.169     
bert       D2         2          0.2817    
bert-based D2         1          0.1408    
bet        D3         1          0.169     
budget,    D5         1          0.169     
build      D1         1          0.169     
built      D1         1          0.169     
cap        D1         1          0.1204    
cap        D2         1          0.1003    
capt       D5         1          0.169     
carry      D2         1          0.1408    
cas        D3         1          0.169     
cases.     D3         1          0.169     
chatgpt    D1         1          0.169     
clar       D2         1          0.1408    
clear      D2         1          0.1408    
collect    D3         1          0.1204    
collect    D6         1          0.0669    
combin     D2         1          0.1408    
common     D6         1          0.0939    
comp       D1         1          0.0796    
comp       D2         1          0.0663    
comp       D3         1          0.0796    
comp       D4         1          0.0568    
competit   D2         1          0.1408    
complet    D2         1          0.1408    
complex    D3         5          0.8451    
complex,   D3         2          0.338     
comprom    D3         1          0.169     
comput     D3         1          0.0796    
comput     D4         2          0.1137    
comput     D5         1          0.0796    
comput     D6         1          0.0442    
condit     D6         1          0.0939    
conduc     D2         1          0.1408    
consid     D4         2          0.2415    
consist    D3         1          0.1204    
consist    D4         1          0.086     
consum     D4         1          0.1207    
consumption, D4         1          0.1207    
context    D2         2          0.2817    
context,   D1         1          0.169     
contrast   D5         1          0.169     
conversely, D4         1          0.1207    
cost       D3         1          0.1204    
cost       D4         1          0.086     
cost,      D3         1          0.169     
critical.  D3         1          0.169     
cross-encoder D2         1          0.1408    
dat        D2         1          0.1003    
dat        D6         1          0.0669    
dataset    D3         5          0.4771    
dataset    D4         1          0.0682    
dataset    D6         1          0.053     
datasets,  D2         1          0.1408    
datasets.  D3         1          0.1204    
datasets.  D5         1          0.1204    
date,      D1         1          0.169     
de-facto   D5         1          0.169     
deep       D1         1          0.0954    
deep       D2         3          0.2386    
deep       D6         1          0.053     
demonst    D2         1          0.0663    
demonst    D4         2          0.1137    
demonst    D5         1          0.0796    
demonst    D6         1          0.0442    
dens       D2         3          0.301     
dens       D5         2          0.2408    
design     D2         1          0.1003    
design     D3         1          0.1204    
dev        D5         1          0.169     
develop    D3         1          0.169     
discret    D5         1          0.169     
disjoint;  D5         1          0.169     
dl         D4         1          0.1207    
dl19       D5         1          0.169     
dl19)      D5         1          0.169     
docu       D2         5          0.2854    
docu       D3         3          0.2055    
docu       D4         2          0.0978    
docu       D5         4          0.2739    
docu       D6         2          0.0761    
documents. D2         2          0.2817    
doris-mae  D3         2          0.338     
doris-mae, D3         1          0.169     
drop       D3         1          0.169     
dual       D5         2          0.338     
due        D3         2          0.338     
effect     D1         2          0.137     
effect     D2         1          0.0571    
effect     D3         2          0.137     
effect     D4         3          0.1468    
effect     D5         1          0.0685    
effectiveness. D4         2          0.2415    
efficiency, D4         1          0.1207    
efficy     D4         3          0.258     
efficy     D5         2          0.2408    
effort     D3         1          0.169     
eh         D5         5          0.8451    
elasticsearch D2         1          0.1408    
emb        D5         1          0.169     
embed      D2         1          0.0795    
embed      D5         4          0.3817    
embed      D6         2          0.106     
embedding-based D2         2          0.2007    
embedding-based D5         1          0.1204    
emerg      D6         1          0.0939    
empir      D4         1          0.1207    
employed.  D2         1          0.1408    
encod      D2         2          0.2007    
encod      D5         2          0.2408    
end-to-end D5         1          0.169     
endpoints. D1         1          0.169     
engine,    D2         1          0.1408    
enh        D4         1          0.1207    
ens        D5         1          0.169     
estim      D6         1          0.0939    
evalu      D3         2          0.1908    
evalu      D4         2          0.1363    
evalu      D6         1          0.053     
ex         D3         1          0.0954    
ex         D4         1          0.0682    
ex         D6         1          0.053     
example,   D5         1          0.169     
expand     D2         2          0.2007    
expand     D6         4          0.2676    
expert     D3         1          0.169     
expert-level D3         1          0.169     
expery     D1         2          0.1908    
expery     D2         1          0.0795    
expery     D4         1          0.0682    
extend     D3         1          0.169     
fact       D4         1          0.1207    
feedback   D6         2          0.1878    
field      D3         1          0.169     
fil        D5         1          0.169     
fin        D2         1          0.1408    
finally,   D2         1          0.1408    
find       D4         1          0.086     
find       D5         1          0.1204    
fine-tuned D2         1          0.1408    
first      D1         1          0.1204    
first      D6         1          0.0669    
first-of-its-kind D4         1          0.1207    
fix        D2         1          0.1408    
foc        D6         1          0.0939    
found      D1         1          0.169     
foundations. D1         1          0.169     
framework  D2         1          0.1003    
framework  D3         1          0.1204    
framework, D4         1          0.1207    
ful        D1         1          0.1204    
ful        D2         1          0.1003    
furthermore, D3         1          0.169     
fut        D1         1          0.169     
gap        D6         1          0.0939    
gap,       D2         1          0.1408    
gen        D2         1          0.1003    
gen        D6         2          0.1338    
giv        D5         2          0.338     
gov02,     D6         1          0.0939    
gpt-3.5    D1         1          0.169     
gpt-4.     D1         1          0.169     
handl      D3         2          0.338     
hid        D1         1          0.169     
hierarch   D5         1          0.169     
high       D3         1          0.0954    
high       D4         3          0.2045    
high       D6         1          0.053     
high-quality D1         1          0.169     
highlight  D3         1          0.169     
hop        D1         1          0.169     
however,   D6         1          0.0939    
human-authored D3         1          0.169     
ident      D4         1          0.1207    
ign        D6         1          0.0939    
ill-suited D5         1          0.169     
impress    D4         1          0.1207    
improv     D2         1          0.0795    
improv     D4         1          0.0682    
improv     D6         1          0.053     
includ     D5         1          0.169     
ind        D4         1          0.1207    
index      D2         1          0.1003    
index      D5         2          0.2408    
industry   D5         2          0.338     
inf        D4         1          0.1207    
inform     D1         1          0.1204    
inform     D6         1          0.0669    
inh        D4         1          0.1207    
inputs,    D2         1          0.1408    
int        D4         1          0.1207    
interact   D2         1          0.1408    
interaction, D6         1          0.0939    
interactions. D6         1          0.0939    
introduc   D3         1          0.1204    
introduc   D5         1          0.1204    
invert     D5         1          0.169     
ir         D6         1          0.0939    
joint      D5         1          0.169     
lab        D3         1          0.169     
langu      D1         1          0.0954    
langu      D3         1          0.0954    
langu      D4         1          0.0682    
larg       D1         1          0.0796    
larg       D2         1          0.0663    
larg       D3         1          0.0796    
larg       D4         1          0.0568    
lat        D6         2          0.1878    
latency,   D4         1          0.1207    
lead       D5         1          0.169     
learn      D1         1          0.0796    
learn      D2         2          0.1326    
learn      D5         5          0.3979    
learn      D6         2          0.0884    
leng       D2         1          0.1408    
lengthy    D2         1          0.1408    
lev        D2         1          0.1003    
