Word       Document   Frequency  Weight     
(a)        D5         1          0.169     
(anns)     D5         1          0.169     
(b)        D5         1          0.169     
(dev       D5         1          0.169     
(doris-mae), D3         1          0.169     
(ir)       D6         1          0.0939    
(ivf)      D5         1          0.169     
(llms)     D1         1          0.0954    
(llms)     D3         1          0.0954    
(llms)     D4         1          0.0682    
(mrr@10)   D5         1          0.169     
(ndcg@10)  D5         1          0.169     
(qe)       D6         1          0.0939    
(sbert)    D2         1          0.1408    
(sota)     D5         1          0.169     
--         D5         2          0.338     
0.6%       D5         1          0.169     
04         D6         1          0.0939    
100        D3         2          0.338     
17         D3         1          0.169     
2019       D1         1          0.169     
2020       D1         1          0.169     
4,000      D3         1          0.169     
4.2%       D5         1          0.169     
500x       D3         1          0.169     
7b         D1         1          0.169     
abil       D3         1          0.169     
achiev     D1         1          0.169     
addit      D3         1          0.1204    
addit      D6         1          0.0669    
addition,  D2         1          0.1408    
address    D1         1          0.0796    
address    D2         1          0.0663    
address    D3         1          0.0796    
address    D6         1          0.0442    
adopt      D6         1          0.0939    
advent     D2         1          0.1408    
aim        D6         1          0.0939    
allow      D4         1          0.086     
allow      D6         1          0.0669    
also       D2         1          0.0663    
also       D3         1          0.0796    
also       D4         1          0.0568    
also       D6         1          0.0442    
although   D1         1          0.169     
among      D4         1          0.1207    
amount     D4         1          0.1207    
analysi    D2         1          0.1408    
ann        D5         3          0.5071    
anno-gpt,  D3         1          0.169     
annot      D3         4          0.6761    
annotation, D3         1          0.169     
annotation. D3         1          0.169     
anns.      D5         1          0.169     
ap         D6         1          0.0939    
api        D1         1          0.169     
appli      D1         1          0.169     
approach   D1         1          0.0954    
approach   D3         1          0.0954    
approach   D4         7          0.4771    
approach.  D4         2          0.2415    
approxim   D5         1          0.169     
architecture, D2         1          0.1408    
architectures, D2         1          0.1408    
aspect-bas D3         1          0.169     
assembl    D3         1          0.169     
assess     D2         1          0.1408    
autoencoder. D6         1          0.0939    
base       D2         1          0.0795    
base       D3         1          0.0954    
base       D6         1          0.053     
baselines. D6         1          0.0939    
begin      D4         1          0.1207    
behind     D1         2          0.338     
beir       D4         1          0.1207    
benchmark  D3         1          0.169     
benchmark. D4         1          0.1207    
benchmarks, D5         1          0.169     
benchmarks. D5         1          0.169     
bert       D2         2          0.2817    
bert-bas   D2         1          0.1408    
better     D3         1          0.169     
budget,    D5         1          0.169     
build      D1         1          0.169     
built      D1         1          0.169     
capabl     D1         1          0.1204    
capabl     D2         1          0.1003    
captur     D5         1          0.169     
carri      D2         1          0.1408    
case       D3         1          0.169     
cases.     D3         1          0.169     
chatgpt    D1         1          0.169     
clariti    D2         1          0.1408    
clearli    D2         1          0.1408    
collect    D3         1          0.1204    
collect    D6         1          0.0669    
combin     D2         1          0.1408    
commonli   D6         1          0.0939    
compar     D1         1          0.0796    
compar     D2         1          0.0663    
compar     D3         1          0.0796    
compar     D4         1          0.0568    
competit   D2         1          0.1408    
complet    D2         1          0.1408    
complex    D3         5          0.8451    
complex,   D3         2          0.338     
compromis  D3         1          0.169     
comput     D3         1          0.0796    
comput     D4         2          0.1137    
comput     D5         1          0.0796    
comput     D6         1          0.0442    
condit     D6         1          0.0939    
conduct    D2         1          0.1408    
consid     D4         1          0.1207    
consider   D4         1          0.1207    
consist    D3         1          0.1204    
consist    D4         1          0.086     
consumpt   D4         1          0.1207    
consumption, D4         1          0.1207    
context,   D1         1          0.169     
contextu   D2         2          0.2817    
contrast   D5         1          0.169     
conversely, D4         1          0.1207    
cost       D3         1          0.1204    
cost       D4         1          0.086     
cost,      D3         1          0.169     
critical.  D3         1          0.169     
cross-encod D2         1          0.1408    
data       D2         1          0.1003    
data       D6         1          0.0669    
dataset    D3         5          0.4771    
dataset    D4         1          0.0682    
dataset    D6         1          0.053     
datasets,  D2         1          0.1408    
datasets.  D3         1          0.1204    
datasets.  D5         1          0.1204    
date,      D1         1          0.169     
de-facto   D5         1          0.169     
deep       D1         1          0.0954    
deep       D2         1          0.0795    
deep       D6         1          0.053     
deeper     D2         2          0.2817    
demonstr   D2         1          0.0663    
demonstr   D4         2          0.1137    
demonstr   D5         1          0.0796    
demonstr   D6         1          0.0442    
dens       D2         3          0.301     
dens       D5         2          0.2408    
design     D2         1          0.1003    
design     D3         1          0.1204    
dev        D5         1          0.169     
develop    D3         1          0.169     
discret    D5         1          0.169     
disjoint;  D5         1          0.169     
dl         D4         1          0.1207    
dl19       D5         1          0.169     
dl19)      D5         1          0.169     
document   D2         5          0.2854    
document   D3         3          0.2055    
document   D4         2          0.0978    
document   D5         4          0.2739    
document   D6         2          0.0761    
documents. D2         2          0.2817    
doris-ma   D3         2          0.338     
doris-mae, D3         1          0.169     
drop       D3         1          0.169     
dual       D5         2          0.338     
due        D3         2          0.338     
effect     D1         2          0.137     
effect     D2         1          0.0571    
effect     D3         2          0.137     
effect     D4         3          0.1468    
effect     D5         1          0.0685    
effectiveness. D4         2          0.2415    
effici     D4         3          0.258     
effici     D5         2          0.2408    
efficiency, D4         1          0.1207    
effort     D3         1          0.169     
ehi        D5         5          0.8451    
elasticsearch D2         1          0.1408    
emb        D5         1          0.169     
embed      D2         1          0.0795    
embed      D5         4          0.3817    
embed      D6         2          0.106     
embedding-bas D2         2          0.2007    
embedding-bas D5         1          0.1204    
emerg      D6         1          0.0939    
empir      D4         1          0.1207    
employed.  D2         1          0.1408    
encod      D2         2          0.2007    
encod      D5         2          0.2408    
end-to-end D5         1          0.169     
endpoints. D1         1          0.169     
engine,    D2         1          0.1408    
enhanc     D4         1          0.1207    
ensur      D5         1          0.169     
estim      D6         1          0.0939    
evalu      D3         2          0.1908    
evalu      D4         2          0.1363    
evalu      D6         1          0.053     
example,   D5         1          0.169     
exist      D3         1          0.0954    
exist      D4         1          0.0682    
exist      D6         1          0.053     
expans     D2         2          0.2007    
expans     D6         4          0.2676    
experi     D2         1          0.1408    
experiment D1         2          0.2408    
experiment D4         1          0.086     
expert     D3         1          0.169     
expert-level D3         1          0.169     
extend     D3         1          0.169     
factor     D4         1          0.1207    
feedback   D6         2          0.1878    
field      D3         1          0.169     
file       D5         1          0.169     
final      D2         1          0.1408    
finally,   D2         1          0.1408    
find       D4         1          0.086     
find       D5         1          0.1204    
fine-tun   D2         1          0.1408    
first      D1         1          0.1204    
first      D6         1          0.0669    
first-of-its-kind D4         1          0.1207    
fix        D2         1          0.1408    
focu       D6         1          0.0939    
foundat    D1         1          0.169     
foundations. D1         1          0.169     
framework  D2         1          0.1003    
framework  D3         1          0.1204    
framework, D4         1          0.1207    
full       D2         1          0.1408    
fulli      D1         1          0.169     
furthermore, D3         1          0.169     
futur      D1         1          0.169     
gap        D6         1          0.0939    
gap,       D2         1          0.1408    
gener      D2         1          0.1003    
gener      D6         2          0.1338    
given      D5         2          0.338     
gov02,     D6         1          0.0939    
gpt-3.5    D1         1          0.169     
gpt-4.     D1         1          0.169     
handl      D3         2          0.338     
hidden     D1         1          0.169     
hierarch   D5         1          0.169     
high       D3         1          0.1204    
high       D4         3          0.258     
high-qual  D1         1          0.169     
higher     D6         1          0.0939    
highlight  D3         1          0.169     
hope       D1         1          0.169     
however,   D6         1          0.0939    
human-author D3         1          0.169     
identifi   D4         1          0.1207    
ignor      D6         1          0.0939    
ill-suit   D5         1          0.169     
impress    D4         1          0.1207    
improv     D2         1          0.0795    
improv     D4         1          0.0682    
improv     D6         1          0.053     
includ     D5         1          0.169     
incur      D4         1          0.1207    
index      D2         1          0.1003    
index      D5         2          0.2408    
indic      D4         1          0.1207    
industri   D5         2          0.338     
infer      D4         1          0.1207    
inform     D1         1          0.1204    
inform     D6         1          0.0669    
inher      D4         1          0.1207    
inputs,    D2         1          0.1408    
interact   D2         1          0.1408    
interaction, D6         1          0.0939    
interactions. D6         1          0.0939    
introduc   D3         1          0.1204    
introduc   D5         1          0.1204    
invert     D5         1          0.169     
ir         D6         1          0.0939    
jointli    D5         1          0.169     
labor      D3         1          0.169     
languag    D1         1          0.0954    
languag    D3         1          0.0954    
languag    D4         1          0.0682    
larg       D1         1          0.0796    
larg       D2         1          0.0663    
larg       D3         1          0.0796    
larg       D4         1          0.0568    
latency,   D4         1          0.1207    
latent     D6         2          0.1878    
lead       D5         1          0.169     
learn      D1         1          0.0796    
learn      D2         2          0.1326    
learn      D5         5          0.3979    
learn      D6         2          0.0884    
