Word       Document   Frequency  
0          D5         1         
000        D3         1         
04         D6         1         
10         D5         2         
100        D3         2         
17         D3         1         
2          D5         1         
2014       D2         1         
2019       D1         1         
2020       D1         1         
3          D1         1         
4          D1         1         
4          D3         1         
4          D5         1         
5          D1         1         
500x       D3         1         
6          D5         1         
7b         D1         1         
abl        D3         1         
achiev     D1         1         
addit      D2         1         
addit      D3         1         
addit      D6         1         
address    D1         1         
address    D2         1         
address    D3         1         
address    D6         1         
adopt      D6         1         
adv        D2         1         
aim        D6         1         
allow      D4         1         
allow      D6         1         
also       D2         1         
also       D3         1         
also       D4         1         
also       D6         1         
although   D1         1         
among      D4         1         
amount     D4         1         
an         D5         5         
analys     D2         1         
anno       D3         1         
annot      D3         6         
ap         D1         1         
ap         D6         1         
apply      D1         1         
approach   D1         1         
approach   D3         1         
approach   D4         9         
approxim   D5         1         
architect  D2         2         
art        D5         1         
art        D6         1         
aspect     D3         1         
assembl    D3         1         
assess     D2         1         
at         D2         1         
auth       D3         1         
autoencod  D6         1         
b          D5         1         
bas        D2         7         
bas        D3         2         
bas        D4         3         
bas        D5         2         
bas        D6         1         
baselin    D6         1         
begin      D4         1         
behind     D1         2         
beir       D4         1         
benchmark  D3         1         
benchmark  D4         1         
benchmark  D5         2         
bert       D2         3         
bet        D3         1         
budget     D5         1         
build      D1         1         
built      D1         1         
cap        D1         1         
cap        D2         1         
capt       D5         1         
carry      D2         1         
cas        D3         2         
cds        D2         1         
chatgpt    D1         1         
clar       D2         1         
clear      D2         1         
collect    D3         1         
collect    D6         1         
combin     D2         1         
common     D6         1         
comp       D1         1         
comp       D2         1         
comp       D3         1         
comp       D4         1         
competit   D2         1         
complet    D2         1         
complex    D3         7         
comprom    D3         1         
comput     D3         1         
comput     D4         2         
comput     D5         1         
comput     D6         1         
condit     D6         1         
conduc     D2         1         
consid     D4         2         
consist    D3         1         
consist    D4         1         
consum     D4         2         
context    D1         1         
context    D2         2         
contrast   D5         1         
convers    D4         1         
cost       D3         2         
cost       D4         1         
crit       D3         1         
cross      D2         1         
dat        D1         1         
dat        D2         1         
dat        D6         1         
dataset    D2         1         
dataset    D3         6         
dataset    D4         1         
dataset    D5         1         
dataset    D6         1         
de         D5         1         
deep       D1         1         
deep       D2         3         
deep       D6         1         
demonst    D2         1         
demonst    D4         2         
demonst    D5         1         
demonst    D6         1         
dens       D2         3         
dens       D5         2         
design     D2         1         
design     D3         1         
determin   D1         1         
dev        D5         2         
develop    D3         1         
dimend     D2         1         
discret    D5         1         
disjoint   D5         1         
dl         D4         1         
dl19       D5         2         
docu       D2         7         
docu       D3         3         
docu       D4         2         
docu       D5         5         
docu       D6         5         
dor        D3         4         
drop       D3         1         
dual       D5         2         
due        D3         2         
effect     D1         2         
effect     D2         1         
effect     D3         2         
effect     D4         5         
effect     D5         1         
efficy     D4         4         
efficy     D5         2         
effort     D3         1         
eh         D5         5         
elasticsearch D2         1         
emb        D5         1         
embed      D2         3         
embed      D5         5         
embed      D6         2         
emerg      D6         1         
empir      D4         1         
employ     D2         1         
encod      D2         3         
encod      D5         2         
end        D5         2         
endpoint   D1         1         
engin      D2         1         
enh        D4         1         
ens        D5         1         
estim      D6         1         
evalu      D3         2         
evalu      D4         2         
evalu      D6         1         
ex         D3         1         
ex         D4         1         
ex         D6         1         
exampl     D5         1         
expand     D2         2         
expand     D6         4         
expert     D3         2         
expery     D1         2         
expery     D2         1         
expery     D4         1         
extend     D3         1         
fact       D4         1         
facto      D5         1         
feedback   D6         2         
field      D3         1         
