Word       Document   Frequency  Weight     
0.6%       D5         1          0.169     
04         D6         1          0.0768    
100        D3         2          0.2113    
17         D3         1          0.1056    
2019       D1         1          0.169     
2020       D1         1          0.169     
4,000      D3         1          0.1056    
4.2%       D5         1          0.169     
500x       D3         1          0.1056    
7b         D1         1          0.169     
abil       D3         1          0.1056    
achiev     D1         1          0.169     
addit      D2         1          0.0596    
addit      D3         1          0.0596    
addit      D6         1          0.0434    
address    D1         1          0.0796    
address    D2         1          0.0497    
address    D3         1          0.0497    
address    D6         1          0.0362    
adopt      D6         1          0.0768    
advent     D2         1          0.1056    
aim        D6         1          0.0768    
allow      D4         1          0.0669    
allow      D6         1          0.0547    
also       D2         1          0.0497    
also       D3         1          0.0497    
also       D4         1          0.0442    
also       D6         1          0.0362    
although   D1         1          0.169     
among      D4         1          0.0939    
amount     D4         1          0.0939    
analysi    D2         1          0.1056    
ann        D5         5          0.8451    
anno-gpt   D3         1          0.1056    
annot      D3         6          0.6338    
ap         D6         1          0.0768    
api        D1         1          0.169     
appli      D1         1          0.169     
approach   D1         1          0.0954    
approach   D3         1          0.0596    
approach   D4         9          0.4771    
approxim   D5         1          0.169     
architectur D2         2          0.2113    
aspect-bas D3         1          0.1056    
assembl    D3         1          0.1056    
assess     D2         1          0.1056    
autoencod  D6         1          0.0768    
b          D5         1          0.169     
base       D2         1          0.0596    
base       D3         1          0.0596    
base       D6         1          0.0434    
baselin    D6         1          0.0768    
begin      D4         1          0.0939    
behind     D1         2          0.338     
beir       D4         1          0.0939    
benchmark  D3         1          0.0596    
benchmark  D4         1          0.053     
benchmark  D5         2          0.1908    
bert       D2         2          0.2113    
bert-bas   D2         1          0.1056    
better     D3         1          0.1056    
budget     D5         1          0.169     
build      D1         1          0.169     
built      D1         1          0.169     
capabl     D1         1          0.1204    
capabl     D2         1          0.0753    
captur     D5         1          0.169     
carri      D2         1          0.1056    
case       D3         2          0.2113    
chatgpt    D1         1          0.169     
clariti    D2         1          0.1056    
clearli    D2         1          0.1056    
collect    D3         1          0.0753    
collect    D6         1          0.0547    
combin     D2         1          0.1056    
commonli   D6         1          0.0768    
compar     D1         1          0.0796    
compar     D2         1          0.0497    
compar     D3         1          0.0497    
compar     D4         1          0.0442    
competit   D2         1          0.1056    
complet    D2         1          0.1056    
complex    D3         7          0.7395    
compromis  D3         1          0.1056    
comput     D3         1          0.0497    
comput     D4         2          0.0884    
comput     D5         1          0.0796    
comput     D6         1          0.0362    
condit     D6         1          0.0768    
conduct    D2         1          0.1056    
consid     D4         1          0.0939    
consider   D4         1          0.0939    
consist    D3         1          0.0753    
consist    D4         1          0.0669    
consumpt   D4         2          0.1878    
context    D1         1          0.169     
contextu   D2         2          0.2113    
contrast   D5         1          0.169     
convers    D4         1          0.0939    
cost       D3         2          0.1505    
cost       D4         1          0.0669    
critic     D3         1          0.1056    
cross-encod D2         1          0.1056    
data       D2         1          0.0753    
data       D6         1          0.0547    
dataset    D2         1          0.0428    
dataset    D3         6          0.2568    
dataset    D4         1          0.038     
dataset    D5         1          0.0685    
dataset    D6         1          0.0311    
date       D1         1          0.169     
de-facto   D5         1          0.169     
deep       D1         1          0.0954    
deep       D2         1          0.0596    
deep       D6         1          0.0434    
deeper     D2         2          0.2113    
demonstr   D2         1          0.0497    
demonstr   D4         2          0.0884    
demonstr   D5         1          0.0796    
demonstr   D6         1          0.0362    
dens       D2         3          0.2258    
dens       D5         2          0.2408    
design     D2         1          0.0753    
design     D3         1          0.0753    
dev        D5         2          0.338     
develop    D3         1          0.1056    
discret    D5         1          0.169     
disjoint   D5         1          0.169     
dl         D4         1          0.0939    
dl19       D5         2          0.338     
document   D2         7          0.2996    
document   D3         3          0.1284    
document   D4         2          0.0761    
document   D5         4          0.2739    
document   D6         2          0.0623    
doris-ma   D3         4          0.4225    
drop       D3         1          0.1056    
dual       D5         2          0.338     
due        D3         2          0.2113    
effect     D1         2          0.137     
effect     D2         1          0.0428    
effect     D3         2          0.0856    
effect     D4         5          0.1902    
effect     D5         1          0.0685    
effici     D4         4          0.2676    
effici     D5         2          0.2408    
effort     D3         1          0.1056    
ehi        D5         5          0.8451    
elasticsearch D2         1          0.1056    
emb        D5         1          0.169     
embed      D2         1          0.0596    
embed      D5         4          0.3817    
embed      D6         2          0.0867    
embedding-bas D2         2          0.1505    
embedding-bas D5         1          0.1204    
emerg      D6         1          0.0768    
empir      D4         1          0.0939    
employ     D2         1          0.1056    
encod      D2         2          0.1505    
encod      D5         2          0.2408    
end-to-end D5         1          0.169     
endpoint   D1         1          0.169     
engin      D2         1          0.1056    
enhanc     D4         1          0.0939    
ensur      D5         1          0.169     
estim      D6         1          0.0768    
evalu      D3         2          0.1193    
evalu      D4         2          0.106     
evalu      D6         1          0.0434    
exampl     D5         1          0.169     
exist      D3         1          0.0596    
exist      D4         1          0.053     
exist      D6         1          0.0434    
expans     D2         2          0.1505    
expans     D6         4          0.2189    
experi     D2         1          0.1056    
experiment D1         2          0.2408    
experiment D4         1          0.0669    
expert     D3         1          0.1056    
expert-level D3         1          0.1056    
extend     D3         1          0.1056    
factor     D4         1          0.0939    
feedback   D6         2          0.1537    
field      D3         1          0.1056    
file       D5         1          0.169     
final      D2         2          0.2113    
find       D4         1          0.0669    
find       D5         1          0.1204    
fine-tun   D2         1          0.1056    
first      D1         1          0.1204    
first      D6         1          0.0547    
first-of-its-kind D4         1          0.0939    
fix        D2         1          0.1056    
focu       D6         1          0.0768    
foundat    D1         2          0.338     
framework  D2         1          0.0596    
framework  D3         1          0.0596    
framework  D4         1          0.053     
full       D2         1          0.1056    
fulli      D1         1          0.169     
furthermor D3         1          0.1056    
futur      D1         1          0.169     
gap        D2         1          0.0753    
gap        D6         1          0.0547    
gener      D2         1          0.0753    
gener      D6         2          0.1095    
given      D5         2          0.338     
gov02      D6         1          0.0768    
gpt-3.5    D1         1          0.169     
gpt-4      D1         1          0.169     
handl      D3         2          0.2113    
hidden     D1         1          0.169     
hierarch   D5         1          0.169     
high       D3         1          0.0753    
high       D4         3          0.2007    
high-qual  D1         1          0.169     
higher     D6         1          0.0768    
highlight  D3         1          0.1056    
hope       D1         1          0.169     
howev      D6         1          0.0768    
human-author D3         1          0.1056    
identifi   D4         1          0.0939    
ignor      D6         1          0.0768    
ill-suit   D5         1          0.169     
impress    D4         1          0.0939    
improv     D2         1          0.0596    
improv     D4         1          0.053     
improv     D6         1          0.0434    
includ     D5         1          0.169     
incur      D4         1          0.0939    
index      D2         1          0.0753    
index      D5         2          0.2408    
indic      D4         1          0.0939    
industri   D5         2          0.338     
infer      D4         1          0.0939    
inform     D1         1          0.1204    
inform     D6         1          0.0547    
inher      D4         1          0.0939    
input      D2         1          0.1056    
interact   D2         1          0.0753    
interact   D6         2          0.1095    
introduc   D3         1          0.0753    
introduc   D5         1          0.1204    
invert     D5         1          0.169     
ir         D6         2          0.1537    
ivf        D5         1          0.169     
jointli    D5         1          0.169     
